task,check,eval_labels,matches,mismatches,agreement,only_in_reference,only_in_object_centric,examples,log,param
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity F
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity FF
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity G
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity H
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity I
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity J
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity K
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity L
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity M
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity N
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity O
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity ZA
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Activity ZAZ
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Start
OB-M,equivalence,2260,2260,0,1.0,0,0,[],Artificial5,Start2
NE-NEPr,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NE-NPaA,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NE-NEPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NE-NPaM,equivalence,1700,1700,0,1.0,0,0,[],Real4,send
NE-NPaM,equivalence,1700,1700,0,1.0,0,0,[],Real4,receive
NE-NMPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,Bank
NE-NMPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,Visitor
NE-NMPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,Zoo
NE-NMPr,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NV-PrT,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NV-PaT,equivalence,1700,1700,0,1.0,0,0,[],Real4,Bank
NV-PaT,equivalence,1700,1700,0,1.0,0,0,[],Real4,Visitor
NV-PaT,equivalence,1700,1700,0,1.0,0,0,[],Real4,Zoo
NV-TNE,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NV-TNM,equivalence,1700,1700,0,1.0,0,0,[],Real4,send
NV-TNM,equivalence,1700,1700,0,1.0,0,0,[],Real4,receive
NV-NMPr,equivalence,1700,1700,0,1.0,0,0,[],Real4,
NV-NMPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,Bank
NV-NMPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,Visitor
NV-NMPa,equivalence,1700,1700,0,1.0,0,0,[],Real4,Zoo
OB-P,equivalence,1700,1700,0,1.0,0,0,[],Real4,Bank
OB-P,equivalence,1700,1700,0,1.0,0,0,[],Real4,Visitor
OB-P,equivalence,1700,1700,0,1.0,0,0,[],Real4,Zoo
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Card received?
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Change account
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Decide individual or family ticket
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Deliver Zooclub card
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Enter customer data into the system
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Forward information to making department
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Go home
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Mail ZooClub magazine
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Payment confirmed
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Prepare family's information
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Prepare personal information
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Process payment information
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Receive payment request
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Receive visitor information
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Send information to the ZooClub department
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Send payment request
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Send request to billing department
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Wait for card
OB-M,equivalence,1700,1700,0,1.0,0,0,[],Real4,Wait fot payment
