log,predictor,task,fold,stage,seconds,rss_start_mb,rss_end_mb,rss_peak_mb
Artificial1,random_forest,NV-PrT,4.0,predict,0.03,741.9,741.95,741.95
Artificial1,random_forest,NV-PaT,,labeling,0.0023,739.64,736.61,739.64
Artificial1,random_forest,NV-PaT,0.0,fit,0.1303,736.67,742.27,742.42
Artificial1,random_forest,NV-PaT,0.0,predict,0.0296,742.24,740.27,742.24
Artificial1,random_forest,NV-PaT,1.0,fit,0.1205,739.72,740.77,740.79
Artificial1,random_forest,NV-PaT,1.0,predict,0.0291,740.77,740.78,740.78
Artificial1,random_forest,NV-PaT,2.0,fit,0.113,740.21,741.16,741.2
Artificial1,random_forest,NV-PaT,2.0,predict,0.0333,741.16,741.01,741.16
Artificial1,random_forest,NV-PaT,3.0,fit,0.1289,739.48,741.11,741.11
Artificial1,random_forest,NV-PaT,3.0,predict,0.0173,741.07,741.02,741.07
Artificial1,random_forest,NV-PaT,4.0,fit,0.111,739.82,741.33,741.33
Artificial1,random_forest,NV-PaT,4.0,predict,0.0296,741.3,741.16,741.3
Artificial1,random_forest,NV-NMPr,,labeling,0.0022,740.8,739.89,740.8
Artificial1,random_forest,NV-NMPr,0.0,fit,0.1075,739.62,740.82,740.82
Artificial1,random_forest,NV-NMPr,0.0,predict,0.0172,740.82,740.69,740.82
Artificial1,random_forest,NV-NMPr,1.0,fit,0.1104,739.95,740.86,740.86
Artificial1,random_forest,NV-NMPr,1.0,predict,0.0271,740.86,740.76,740.86
Artificial1,random_forest,NV-NMPr,2.0,fit,0.1095,739.94,740.59,740.62
Artificial1,random_forest,NV-NMPr,2.0,predict,0.03,740.59,731.3,740.59
Artificial1,random_forest,NV-NMPr,3.0,fit,0.113,730.73,731.54,731.59
Artificial1,random_forest,NV-NMPr,3.0,predict,0.0356,731.54,731.46,731.54
Artificial1,random_forest,NV-NMPr,4.0,fit,0.1242,730.99,731.62,731.68
Artificial1,random_forest,NV-NMPr,4.0,predict,0.0289,731.62,731.49,731.62
Artificial1,random_forest,OB-M,,labeling,0.0035,731.03,731.02,731.03
Artificial1,random_forest,OB-M,0.0,fit,0.1571,731.0,732.56,732.56
Artificial1,random_forest,OB-M,0.0,predict,0.0198,732.56,732.39,732.56
Artificial1,random_forest,OB-M,1.0,fit,0.1593,731.95,733.26,733.26
Artificial1,random_forest,OB-M,1.0,predict,0.0167,733.26,733.19,733.26
Artificial1,random_forest,OB-M,2.0,fit,0.1377,732.7,733.53,733.58
Artificial1,random_forest,OB-M,2.0,predict,0.0273,733.49,733.32,733.49
Artificial1,random_forest,OB-M,3.0,fit,0.1424,732.86,732.5,733.63
Artificial1,random_forest,OB-M,3.0,predict,0.0302,732.5,732.65,732.65
Artificial1,random_forest,OB-M,4.0,fit,0.1493,732.25,733.08,733.14
Artificial1,random_forest,OB-M,4.0,predict,0.0411,733.08,732.92,733.08
Artificial5,random_forest,,,ocel_load,1.4402,732.4,778.1,778.1
Artificial5,random_forest,,,feature_extraction,0.5467,778.08,778.52,793.08
Artificial5,random_forest,NE-NPaA,,labeling,0.0031,778.78,779.85,779.85
Artificial5,random_forest,NE-NPaA,0.0,fit,0.1851,780.34,811.12,811.12
Artificial5,random_forest,NE-NPaA,0.0,predict,0.0303,811.12,811.27,811.27
Artificial5,random_forest,NE-NPaA,1.0,fit,0.1641,795.24,810.82,810.82
Artificial5,random_forest,NE-NPaA,1.0,predict,0.0297,810.77,810.82,810.82
Artificial5,random_forest,NE-NPaA,2.0,fit,0.1696,795.01,812.24,812.29
Artificial5,random_forest,NE-NPaA,2.0,predict,0.0332,812.24,812.31,812.31
Artificial5,random_forest,NE-NPaA,3.0,fit,0.1647,794.71,811.24,811.24
Artificial5,random_forest,NE-NPaA,3.0,predict,0.034,811.24,811.13,811.24
Artificial5,random_forest,NE-NPaA,4.0,fit,0.1599,795.03,809.72,809.72
Artificial5,random_forest,NE-NPaA,4.0,predict,0.0307,809.72,809.66,809.72
Artificial5,random_forest,NE-NMPr,,labeling,0.0039,796.0,795.04,796.0
Artificial5,random_forest,NE-NMPr,0.0,fit,0.1739,794.91,834.27,834.27
Artificial5,random_forest,NE-NMPr,0.0,predict,0.0294,834.27,834.7,834.7
Artificial5,random_forest,NE-NMPr,1.0,fit,0.1578,794.73,835.27,835.27
Artificial5,random_forest,NE-NMPr,1.0,predict,0.0331,835.27,836.0,836.0
Artificial5,random_forest,NE-NMPr,2.0,fit,0.172,794.76,836.77,836.77
Artificial5,random_forest,NE-NMPr,2.0,predict,0.0351,836.77,837.56,837.56
Artificial5,random_forest,NE-NMPr,3.0,fit,0.17,794.74,834.23,834.23
Artificial5,random_forest,NE-NMPr,3.0,predict,0.0296,834.22,835.32,835.32
Artificial5,random_forest,NE-NMPr,4.0,fit,0.1763,795.06,826.34,826.37
Artificial5,random_forest,NE-NMPr,4.0,predict,0.0297,826.34,826.91,826.91
Artificial5,random_forest,NV-PrT,,labeling,0.0037,795.75,795.07,795.75
Artificial5,random_forest,NV-PrT,0.0,fit,0.1702,795.28,825.77,825.77
Artificial5,random_forest,NV-PrT,0.0,predict,0.0293,825.77,825.74,825.77
Artificial5,random_forest,NV-PrT,1.0,fit,0.1688,794.69,825.81,825.91
Artificial5,random_forest,NV-PrT,1.0,predict,0.0274,825.81,825.83,825.83
Artificial5,random_forest,NV-PrT,2.0,fit,0.1798,793.69,826.85,826.89
Artificial5,random_forest,NV-PrT,2.0,predict,0.0441,826.85,826.9,826.9
Artificial5,random_forest,NV-PrT,3.0,fit,0.1897,794.34,825.86,825.86
Artificial5,random_forest,NV-PrT,3.0,predict,0.0293,825.86,825.88,825.88
Artificial5,random_forest,NV-PrT,4.0,fit,0.1644,794.42,822.19,822.22
Artificial5,random_forest,NV-PrT,4.0,predict,0.0291,822.19,822.06,822.19
Artificial5,random_forest,NV-PaT,,labeling,0.0073,794.78,794.31,794.78
Artificial5,random_forest,NV-PaT,0.0,fit,0.1725,795.01,823.98,823.98
Artificial5,random_forest,NV-PaT,0.0,predict,0.0291,823.98,823.94,823.98
Artificial5,random_forest,NV-PaT,1.0,fit,0.1641,795.71,825.84,825.84
Artificial5,random_forest,NV-PaT,1.0,predict,0.0425,825.84,825.71,825.84
Artificial5,random_forest,NV-PaT,2.0,fit,0.1655,795.42,825.23,825.23
Artificial5,random_forest,NV-PaT,2.0,predict,0.0328,825.23,825.3,825.3
Artificial5,random_forest,NV-PaT,3.0,fit,0.1589,795.38,824.93,824.93
Artificial5,random_forest,NV-PaT,3.0,predict,0.0307,824.9,824.86,824.9
Artificial5,random_forest,NV-PaT,4.0,fit,0.1654,795.42,823.69,823.69
Artificial5,random_forest,NV-PaT,4.0,predict,0.0293,823.69,823.56,823.69
Artificial5,random_forest,NV-NMPr,,labeling,0.0073,795.22,794.72,795.22
Artificial5,random_forest,NV-NMPr,0.0,fit,0.1555,795.41,804.95,804.95
Artificial5,random_forest,NV-NMPr,0.0,predict,0.0294,804.95,805.84,805.84
Artificial5,random_forest,NV-NMPr,1.0,fit,0.1516,795.34,804.38,804.38
Artificial5,random_forest,NV-NMPr,1.0,predict,0.0389,804.34,805.12,805.12
Artificial5,random_forest,NV-NMPr,2.0,fit,0.1534,795.56,805.0,805.0
Artificial5,random_forest,NV-NMPr,2.0,predict,0.0212,805.0,805.66,805.66
Artificial5,random_forest,NV-NMPr,3.0,fit,0.1565,795.75,804.51,804.51
Artificial5,random_forest,NV-NMPr,3.0,predict,0.0298,804.51,805.06,805.06
Artificial5,random_forest,NV-NMPr,4.0,fit,0.1483,795.17,801.85,801.85
Artificial5,random_forest,NV-NMPr,4.0,predict,0.0215,801.81,803.33,803.33
Artificial5,random_forest,OB-M,,labeling,0.0076,795.23,794.78,795.23
Artificial5,random_forest,OB-M,0.0,fit,0.1575,795.56,797.87,797.87
Artificial5,random_forest,OB-M,0.0,predict,0.0289,797.87,797.48,797.87
Artificial5,random_forest,OB-M,1.0,fit,0.1599,794.32,797.63,797.64
Artificial5,random_forest,OB-M,1.0,predict,0.024,797.63,797.04,797.63
Artificial5,random_forest,OB-M,2.0,fit,0.1572,794.15,797.62,797.62
Artificial5,random_forest,OB-M,2.0,predict,0.0345,797.62,797.27,797.62
Artificial5,random_forest,OB-M,3.0,fit,0.1491,791.98,797.37,797.37
Artificial5,random_forest,OB-M,3.0,predict,0.0429,797.37,796.83,797.37
Artificial5,random_forest,OB-M,4.0,fit,0.1456,791.66,796.85,796.86
Artificial5,random_forest,OB-M,4.0,predict,0.0259,796.85,790.88,796.85
Real4,random_forest,,,ocel_load,0.855,740.18,763.22,763.22
Real4,random_forest,,,feature_extraction,0.3621,763.22,768.09,768.09
Real4,random_forest,NE-NPaA,,labeling,0.002,768.09,768.26,768.26
Real4,random_forest,NE-NPaA,0.0,fit,0.1555,768.66,774.04,774.04
Real4,random_forest,NE-NPaA,0.0,predict,0.0364,774.04,773.97,774.04
Real4,random_forest,NE-NPaA,1.0,fit,0.1549,771.37,774.29,774.29
Real4,random_forest,NE-NPaA,1.0,predict,0.0384,774.25,774.11,774.25
Real4,random_forest,NE-NPaA,2.0,fit,0.1569,770.9,773.62,773.62
Real4,random_forest,NE-NPaA,2.0,predict,0.0368,773.62,773.51,773.62
Real4,random_forest,NE-NPaA,3.0,fit,0.1612,771.31,773.69,773.76
Real4,random_forest,NE-NPaA,3.0,predict,0.0199,773.69,764.96,773.69
Real4,random_forest,NE-NPaA,4.0,fit,0.1542,764.49,765.71,765.71
Real4,random_forest,NE-NPaA,4.0,predict,0.0301,765.71,765.55,765.71
Real4,random_forest,NE-NMPr,,labeling,0.0029,765.1,765.89,765.89
Real4,random_forest,NE-NMPr,0.0,fit,0.1492,765.87,767.11,767.13
Real4,random_forest,NE-NMPr,0.0,predict,0.0322,767.11,766.87,767.11
Real4,random_forest,NE-NMPr,1.0,fit,0.1575,766.44,767.41,767.41
Real4,random_forest,NE-NMPr,1.0,predict,0.03,767.41,767.22,767.41
Real4,random_forest,NE-NMPr,2.0,fit,0.1481,766.73,767.43,767.51
Real4,random_forest,NE-NMPr,2.0,predict,0.0297,767.39,767.18,767.39
Real4,random_forest,NE-NMPr,3.0,fit,0.1638,766.77,767.58,767.58
Real4,random_forest,NE-NMPr,3.0,predict,0.0323,767.58,767.48,767.58
Real4,random_forest,NE-NMPr,4.0,fit,0.1463,766.91,764.51,766.91
Real4,random_forest,NE-NMPr,4.0,predict,0.0302,764.47,764.29,764.47
Real4,random_forest,NV-PrT,,labeling,0.0024,763.86,764.02,764.02
Real4,random_forest,NV-PrT,0.0,fit,0.1453,764.03,788.77,788.77
Real4,random_forest,NV-PrT,0.0,predict,0.0437,788.77,790.06,790.06
Real4,random_forest,NV-PrT,1.0,fit,0.1482,771.7,789.64,789.64
Real4,random_forest,NV-PrT,1.0,predict,0.0309,789.64,790.86,790.86
Real4,random_forest,NV-PrT,2.0,fit,0.1385,771.14,789.56,789.56
Real4,random_forest,NV-PrT,2.0,predict,0.0349,789.56,790.67,790.67
Real4,random_forest,NV-PrT,3.0,fit,0.1479,772.12,789.38,789.38
Real4,random_forest,NV-PrT,3.0,predict,0.0214,789.35,790.48,790.48
Real4,random_forest,NV-PrT,4.0,fit,0.1365,772.18,789.35,789.35
Real4,random_forest,NV-PrT,4.0,predict,0.0295,789.32,790.5,790.5
Real4,random_forest,NV-PaT,,labeling,0.0049,772.19,771.91,772.19
Real4,random_forest,NV-PaT,0.0,fit,0.1448,771.97,786.22,786.22
Real4,random_forest,NV-PaT,0.0,predict,0.0395,786.22,787.62,787.62
Real4,random_forest,NV-PaT,1.0,fit,0.1544,774.1,787.85,787.85
Real4,random_forest,NV-PaT,1.0,predict,0.0451,787.85,788.3,788.3
Real4,random_forest,NV-PaT,2.0,fit,0.1515,774.09,787.54,787.54
Real4,random_forest,NV-PaT,2.0,predict,0.0299,787.52,788.48,788.48
Real4,random_forest,NV-PaT,3.0,fit,0.1431,773.71,787.43,787.43
Real4,random_forest,NV-PaT,3.0,predict,0.0207,787.39,788.34,788.34
Real4,random_forest,NV-PaT,4.0,fit,0.1437,774.34,787.32,787.32
Real4,random_forest,NV-PaT,4.0,predict,0.0318,787.3,788.27,788.27
Real4,random_forest,NV-NMPr,,labeling,0.005,773.69,773.36,773.69
Real4,random_forest,NV-NMPr,0.0,fit,0.1256,773.35,775.06,775.09
Real4,random_forest,NV-NMPr,0.0,predict,0.0298,775.02,774.77,775.02
Real4,random_forest,NV-NMPr,1.0,fit,0.1299,772.36,762.53,775.23
Real4,random_forest,NV-NMPr,1.0,predict,0.0375,762.53,762.52,762.53
Real4,random_forest,NV-NMPr,2.0,fit,0.134,762.12,762.85,762.91
Real4,random_forest,NV-NMPr,2.0,predict,0.023,762.85,762.66,762.85
Real4,random_forest,NV-NMPr,3.0,fit,0.1208,762.35,763.11,763.14
Real4,random_forest,NV-NMPr,3.0,predict,0.0298,763.11,762.98,763.11
Real4,random_forest,NV-NMPr,4.0,fit,0.1132,762.46,763.17,763.17
Real4,random_forest,NV-NMPr,4.0,predict,0.0298,763.13,763.02,763.13
Real4,random_forest,OB-M,,labeling,0.0044,762.72,762.83,762.83
Real4,random_forest,OB-M,0.0,fit,0.1563,762.88,764.22,764.22
Real4,random_forest,OB-M,0.0,predict,0.0335,764.22,764.03,764.22
Real4,random_forest,OB-M,1.0,fit,0.1492,763.51,764.24,764.26
Real4,random_forest,OB-M,1.0,predict,0.03,764.24,763.99,764.24
Real4,random_forest,OB-M,2.0,fit,0.1432,763.53,762.96,764.28
Real4,random_forest,OB-M,2.0,predict,0.022,762.96,762.71,762.96
Real4,random_forest,OB-M,3.0,fit,0.1537,762.46,763.2,763.24
Real4,random_forest,OB-M,3.0,predict,0.0425,763.2,762.99,763.2
Real4,random_forest,OB-M,4.0,fit,0.1578,762.49,763.23,763.27
Real4,random_forest,OB-M,4.0,predict,0.0305,763.19,763.02,763.19
