task,check,eval_labels,matches,mismatches,agreement,only_in_reference,only_in_object_centric,examples,log,param,defined,bottom,ill_defined,well_defined
NV-NMPr,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NV-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyA,,,,
NV-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyB,,,,
NV-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyC,,,,
NV-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyD,,,,
OB-P,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyA,,,,
OB-P,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyB,,,,
OB-P,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyC,,,,
OB-P,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyD,,,,
OB-M,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,Activity AA,,,,
OB-M,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,Activity CC,,,,
OB-M,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,Activity DZ,,,,
OB-M,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,Activity E,,,,
OB-M,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,Activity EE,,,,
OB-M,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,Activity M,,,,
X-PaL,internal_consistency,2260,,,,,,,Artificial5,PartyA,2260.0,0.0,0.0,True
X-PaL,internal_consistency,2260,,,,,,,Artificial5,PartyB,2260.0,0.0,0.0,True
X-PaL,internal_consistency,2260,,,,,,,Artificial5,PartyC,2260.0,0.0,0.0,True
X-PaL,internal_consistency,2260,,,,,,,Artificial5,PartyD,2260.0,0.0,0.0,True
X-MSt,internal_consistency,2260,,,,,,,Artificial5,,1473.0,787.0,0.0,True
NE-NEPr,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NE-NPaA,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NE-NEPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NE-NPaM,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NE-NMPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Bank,,,,
NE-NMPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Visitor,,,,
NE-NMPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Zoo,,,,
NE-NMPr,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NV-PrT,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NV-PaT,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Bank,,,,
NV-PaT,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Visitor,,,,
NV-PaT,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Zoo,,,,
NV-TNE,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NV-TNM,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NV-NMPr,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,,,,,
NV-NMPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Bank,,,,
NV-NMPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Visitor,,,,
NV-NMPa,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Zoo,,,,
OB-P,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Bank,,,,
OB-P,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Visitor,,,,
OB-P,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Zoo,,,,
OB-M,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Change account,,,,
OB-M,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Deliver Zooclub card,,,,
OB-M,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Send information to the ZooClub department,,,,
OB-M,equivalence,1700,1700.0,0.0,1.0,0.0,0.0,[],Real4,Send payment request,,,,
X-PaL,internal_consistency,1700,,,,,,,Real4,Bank,1700.0,0.0,0.0,True
X-PaL,internal_consistency,1700,,,,,,,Real4,Visitor,1700.0,0.0,0.0,True
X-PaL,internal_consistency,1700,,,,,,,Real4,Zoo,1700.0,0.0,0.0,True
X-MSt,internal_consistency,1700,,,,,,,Real4,,1499.0,201.0,0.0,True
